Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;00:15:C7:AA:D1:A0;;108;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Sat Mar  3 15:44:12 2012;Sat Mar  3 15:44:32 2012;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;00:16:9C:49:28:10;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat Mar  3 15:44:16 2012;Sat Mar  3 15:44:32 2012;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;GTwireless;00:15:C7:AB:2D:E1;;6;No;WEP;No;54.0;0;43;0;0;0;0;0;;;Sat Mar  3 15:44:16 2012;Sat Mar  3 15:44:32 2012;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;GTvisitor;00:15:C7:AB:2D:E7;;6;No;OPN,None;No;54.0;0;35;0;0;0;0;0;;;Sat Mar  3 15:44:16 2012;Sat Mar  3 15:44:33 2012;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;00:15:C7:AB:2D:E0;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat Mar  3 15:44:16 2012;Sat Mar  3 15:44:31 2012;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;GTwpa;00:15:C7:AB:2D:E4;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;22;0;5;0;0;5;;;Sat Mar  3 15:44:19 2012;Sat Mar  3 15:44:32 2012;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;GTvisitor;00:15:C7:AB:06:C7;;6;No;OPN,None;No;54.0;0;11;0;0;0;0;0;;;Sat Mar  3 15:44:19 2012;Sat Mar  3 15:44:34 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;GTwireless;00:15:C7:AB:06:C1;;6;No;WEP;No;54.0;0;12;0;0;0;0;0;;;Sat Mar  3 15:44:19 2012;Sat Mar  3 15:44:32 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;GTvisitor;00:15:C7:AA:E3:87;;6;No;OPN,None;No;54.0;0;2;0;0;0;0;0;;;Sat Mar  3 15:44:32 2012;Sat Mar  3 15:44:33 2012;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;GTwireless;00:15:C7:AA:E3:81;;6;No;WEP;No;54.0;0;2;0;0;0;0;0;;;Sat Mar  3 15:44:18 2012;Sat Mar  3 15:44:33 2012;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
