Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;HP-nomodel.2C9966;02:2B:8B:22:36:21;;6;No;OPN,None;No;54.0;0;185;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;00:12:44:B9:1C:D0;;108;No;OPN,None;No;-1.0;0;0;0;3;0;0;3;;;Sun Feb 26 13:34:01 2012;Sun Feb 26 13:34:41 2012;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;WODNET;00:18:F8:CB:1C:6A;;6;No;WPA,TKIP;No;54.0;0;192;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;linksys;C0:C1:C0:06:7F:5B;;6;No;OPN,None;No;54.0;0;194;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;palantir;00:1C:10:5A:B6:D7;;6;No;WPA2,AES-CCM;No;54.0;0;185;0;42;0;0;42;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;GTvisitor;00:16:9C:49:28:17;;6;No;OPN,None;No;54.0;0;187;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;GTwireless;00:16:9C:49:28:11;;6;No;WEP;No;54.0;0;185;0;7;0;0;7;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;9C:4E:20:C9:43:50;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sun Feb 26 13:34:21 2012;Sun Feb 26 13:34:40 2012;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;GTwpa;00:16:9C:49:28:14;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;184;0;129;0;0;129;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;GTwpa;9C:4E:20:C9:43:54;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;142;0;1;0;0;1;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;GTvisitor;9C:4E:20:C9:43:57;;6;No;OPN,None;No;54.0;0;146;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;GTwireless;9C:4E:20:C9:43:51;;6;No;WEP;No;54.0;0;149;0;1;0;0;1;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;GTwpa;00:15:C7:AA:E3:84;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;72;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;GTwireless;00:15:C7:AA:E3:81;;6;No;WEP;No;54.0;0;89;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;GTvisitor;00:15:C7:AA:E3:87;;6;No;OPN,None;No;54.0;0;163;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;GTwireless;00:15:C7:AB:2D:E1;;6;No;WEP;No;54.0;0;81;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;GTvisitor;00:26:0B:C8:B0:67;;6;No;OPN,None;No;54.0;0;118;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;GTvisitor;00:15:C7:AB:2D:E7;;6;No;OPN,None;No;54.0;0;65;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;GTwpa;00:15:C7:AB:2D:E4;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;69;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;GTwpa;00:19:07:8E:36:64;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;82;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;GTwireless;00:26:0B:C8:B0:61;;6;No;WEP;No;54.0;0;133;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;GTvisitor;00:19:07:8E:36:67;;6;No;OPN,None;No;54.0;0;89;0;0;0;0;0;;;Sun Feb 26 13:34:20 2012;Sun Feb 26 13:34:40 2012;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;mbs_network;00:1D:7E:BB:87:32;;6;No;WPA,TKIP;No;54.0;0;86;0;7;0;0;7;;;Sun Feb 26 13:34:21 2012;Sun Feb 26 13:34:40 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;shrub-1;00:14:85:D0:C3:6D;;6;No;OPN,None;No;54.0;0;80;0;0;0;0;0;;;Sun Feb 26 13:34:21 2012;Sun Feb 26 13:34:39 2012;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;GTwireless;00:15:C7:AB:06:C1;;6;No;WEP;No;54.0;0;4;0;0;0;0;0;;;Sun Feb 26 13:34:24 2012;Sun Feb 26 13:34:38 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
